"If yes, what apps,sites did you use? ","Why did,do you use dating apps,sites in general? ",Rank the following in accordance to their importance to you on a dating app: [Texting],Sex,"Do you use dating apps,sites",
Not applicable,Not applicable,Somewhat important,female,No,
Not applicable,Not applicable,I don't really care,Male,No,
Not applicable,Not applicable,Somewhat important,Male,No,
Not applicable,Not applicable,Somewhat important,Nonbinary ,No,
"Tinder,Datamatch","I'm down bad and want something casual,Just for fun and I don't actually intend to meet anyone,For an ego boost and I don't actually intend to meet anyone",Very important,female,"Yes, but not anymore",
"Tinde,Hinge,Datamatch",I want a relationship and can't find one outside,Very important,Male,"Yes, but not anymore",
Datamatch,To make friends!,Very important,Female,No,
Not applicable,Not applicable,Very important,Male,No,
Datamatch,"Just for fun and I don't actually intend to meet anyone,For an ego boost and I don't actually intend to meet anyone",I don't really care,M,Yes,
Not applicable,Not applicable,I don't really care,Male,No,
"Tinder,Hinge","I'm down bad and want something casual,To go on dates and explore",I don't really care,female,Yes,
"Tinder,Hinge,Datamatch","I'm down bad and want something casual,To go on dates and explore",Somewhat important,Male,Yes,
"Tinder,Bumble,Hinge","I want a relationship and can't find one outside,I'm down bad and want something casual,To go on dates and explore",Very important,Male,Yes,
"Tinder,Bumble,Hinge",To go on dates and explore,Very important,Female,"Yes, but not anymore",
Datamatch,meet friends,Not very important,male,No,
"Datamatch,Not applicable",Not applicable,Somewhat important,Male,No,
"Tinder,Bumble,Datamatch","I want a relationship and can't find one outside,I'm down bad and want something casual,Just for fun and I don't actually intend to meet anyone",Somewhat important,M,Yes,
"Tinder,Bumble,Hinge,Datamatch","Just for fun and I don't actually intend to meet anyone,For an ego boost and I don't actually intend to meet anyone,To go on dates and explore",Very important,Female,"Yes, but not anymore",
"Tinder,Bumble,Datamatch","I want a relationship and can't find one outside,I'm down bad and want something casual,To go on dates and explore",Somewhat important,Female,Yes,
Not applicable,Not applicable,Very important,Female ,No,
"Tinder,Hinge,Datamatch","I want a relationship and can't find one outside,I'm down bad and want something casual",Somewhat important,woman,Yes,
Not applicable,Not applicable,Very important,Male,No,
"Tinder,Datamatch",To go on dates and explore,Somewhat important,Female,Yes,
Not applicable,Not applicable,Somewhat important,Female,No,
Datamatch,To go on dates and explore,Somewhat important,F,"Yes, but not anymore",
"Tinder,Bumble,Datamatch","I want a relationship and can't find one outside,I'm down bad and want something casual,To go on dates and explore",Very important,Male,Yes,
"Tinder,Bumble,Hinge,Datamatch",I'm down bad and want something casual,Not very important,male,Yes,
"Tinder,Datamatch","I'm down bad and want something casual,Just for fun and I don't actually intend to meet anyone,For an ego boost and I don't actually intend to meet anyone",Very important,Female,Yes,
"Tinder,Hinge,Datamatch","Just for fun and I don't actually intend to meet anyone,For an ego boost and I don't actually intend to meet anyone,To go on dates and explore",Very important,female ,"Yes, but not anymore",
"Tinder,Bumble","I want a relationship and can't find one outside,I'm down bad and want something casual",Very important,Female ,"Yes, but not anymore",
Not applicable,Not applicable,Somewhat important,Female,No,
Not applicable,Not applicable,Somewhat important,Female,No,
"Tinder,Datamatch",I want a relationship and can't find one outside,I don't really care,Female,"Yes, but not anymore",
"Tinder,Bumble,Grindr","I'm down bad and want something casual,Just for fun and I don't actually intend to meet anyone,To go on dates and explore",Very important,Male,Yes,
Not applicable,Not applicable,Very important,Female,No,
Tinder,"To go on dates and explore,Meet girls outside of Harvard ",Somewhat important,Male,Yes,
Not applicable,Not applicable,Not important,Female,No,
Not applicable,Not applicable,Very important,F,No,
Not applicable,Not applicable,Very important,Male,No,
Not applicable,Not applicable,Very important,Male,No,
Not applicable,Not applicable,Very important,F,No,
"Tinder,Bumble,Datamatch","Just for fun and I don't actually intend to meet anyone,For an ego boost and I don't actually intend to meet anyone,To go on dates and explore",Very important,female ,"Yes, but not anymore",
Bumble,I want a relationship and can't find one outside,Very important,Female,"Yes, but not anymore",
"Tinder,Bumble,Hinge,Datamatch",Just for fun and I don't actually intend to meet anyone,Very important,female,"Yes, but not anymore",
Datamatch,"I'm down bad and want something casual,Just for fun and I don't actually intend to meet anyone,To go on dates and explore",Very important,Male,Yes,
Not applicable,Not applicable,Somewhat important,Male,No,
Datamatch,Just for fun and I don't actually intend to meet anyone,Somewhat important,Female,No,
"Tinder,Datamatch","Just for fun and I don't actually intend to meet anyone,For an ego boost and I don't actually intend to meet anyone",Somewhat important,Female,"Yes, but not anymore",
Not applicable,Not applicable,Very important,male,No,
"Bumble,Hinge,Datamatch","I want a relationship and can't find one outside,To go on dates and explore",Very important,Male,"Yes, but not anymore",
Datamatch,I want a relationship and can't find one outside,Somewhat important,Female ,No,
Not applicable,Not applicable,Somewhat important,Male,No,
Not applicable,Not applicable,I don't really care,Female,No,
"Tinder,Bumble","Just for fun and I don't actually intend to meet anyone,For an ego boost and I don't actually intend to meet anyone,To go on dates and explore",Very important,female,"Yes, but not anymore",
Not applicable,Not applicable,Not very important,Male,No,
"Tinder,Bumble,Datamatch","I want a relationship and can't find one outside,Just for fun and I don't actually intend to meet anyone",Very important,female,Yes,
Not applicable,Not applicable,I don't really care,Female,No,
Not applicable,"I'm down bad and want something casual,Just for fun and I don't actually intend to meet anyone,Not applicable",I don't really care,m,No,
Bumble,"I want a relationship and can't find one outside,For an ego boost and I don't actually intend to meet anyone",Somewhat important,F,Yes,
"Hinge,Datamatch",I want a relationship and can't find one outside,Very important,nonbinary,"Yes, but not anymore",
"Tinder,Datamatch","Just for fun and I don't actually intend to meet anyone,For an ego boost and I don't actually intend to meet anyone",Somewhat important,Female,Yes,
Not applicable,Not applicable,I don't really care,Female,No,
"Tinder,Datamatch",Just for fun and I don't actually intend to meet anyone,Somewhat important,Female,Yes,
"Bumble,HER (Lesbian, Bisexual dating app)",I want a relationship and can't find one outside,Very important,Female,"Yes, but not anymore",
Not applicable,Not applicable,Very important,Female,No,
"Bumble,Datamatch",Just for fun and I don't actually intend to meet anyone,Somewhat important,Female,"Yes, but not anymore",
"Tinder,Bumble,Hinge,Datamatch","Just for fun and I don't actually intend to meet anyone,For an ego boost and I don't actually intend to meet anyone",Somewhat important,Female,"Yes, but not anymore",
"Bumble,Datamatch",To go on dates and explore,Very important,Female,"Yes, but not anymore",
"Tinder,Bumble,Hinge,OkCupid,Datamatch",To go on dates and explore,Somewhat important,Male,"Yes, but not anymore",
"Tinder,Hinge,Datamatch","Just for fun and I don't actually intend to meet anyone,For an ego boost and I don't actually intend to meet anyone,To go on dates and explore",Somewhat important,Female,"Yes, but not anymore",
Hinge,"I want a relationship and can't find one outside,To go on dates and explore",Somewhat important,M,"Yes, but not anymore",
Not applicable,Not applicable,Somewhat important,female,No,
"Tinder,Bumble,Datamatch","I'm down bad and want something casual,For an ego boost and I don't actually intend to meet anyone,Hard to find queer people",Very important,Female,"Yes, but not anymore",
"Tinder,Datamatch",To go on dates and explore,Not very important,F,Yes,
"Tinder,Datamatch",I'm down bad and want something casual,Very important,Female,Yes,
Datamatch,"I want a relationship and can't find one outside,I'm down bad and want something casual,Just for fun and I don't actually intend to meet anyone,To go on dates and explore",Very important,male,Yes,
Datamatch,To go on dates and explore,Very important,Male,Yes,
Datamatch,Just for fun and I don't actually intend to meet anyone,Very important,Female,Yes,
"Tinder,Hinge,Grindr","I want a relationship and can't find one outside,To go on dates and explore,hookups",Very important,male ,"Yes, but not anymore",
"Tinder,Bumble,Datamatch","Just for fun and I don't actually intend to meet anyone,For an ego boost and I don't actually intend to meet anyone,To go on dates and explore",Very important,F,Yes,
Not applicable,Not applicable,Somewhat important,Male,No,
Not applicable,Not applicable,Somewhat important,Male,No,
Datamatch,"I want a relationship and can't find one outside,To go on dates and explore",Very important,Male,No,
"Tinder,Hinge","I'm down bad and want something casual,To go on dates and explore",Somewhat important,Female ,Yes,
"Tinder,Datamatch","Just for fun and I don't actually intend to meet anyone,To go on dates and explore",I don't really care,Male,"Yes, but not anymore",
"Tinder,Bumble,Hinge,Datamatch","I'm down bad and want something casual,Just for fun and I don't actually intend to meet anyone,To go on dates and explore",Somewhat important,Female,Yes,
"Tinder,Hinge,Datamatch","I want a relationship and can't find one outside,Just for fun and I don't actually intend to meet anyone,To go on dates and explore",I don't really care,Female,"Yes, but not anymore",
Datamatch,"Just for fun and I don't actually intend to meet anyone,free food lol",Somewhat important,F,Yes,
Not applicable,Not applicable,Not very important,Frequently,No,
"Tinder,Bumble,Hinge,Datamatch","I want a relationship and can't find one outside,I'm down bad and want something casual,To go on dates and explore",Very important,Male,"Yes, but not anymore",
Not applicable,Not applicable,Somewhat important,Female,No,
Not applicable,Not applicable,Very important,Female,No,
Not applicable,Not applicable,Very important,Female,No,
"Datamatch,Datamatch for friendship",Just for fun and I don't actually intend to meet anyone,Somewhat important,Female,No,